manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
przeludnienie ;; sytuacja, w której liczba ludności przewyższa możliwości zasobów danego obszaru, co prowadzi do problemów społecznych, ekonomicznych i środowiskowych.
funt ;; jednostka masy wykorzystywana głównie w wielkiej brytanii, równa około 453,59237 grama.
plastik ;; materiał sztuczny wywodzący się z ropy naftowej, charakteryzujący się trwałością, lekkością i łatwością formowania.
kabriolet ;; rodzaj samochodu osobowego, którego dach można złożyć lub całkowicie zdemontować, umożliwiając podróżowanie z odsłoniętym stanem.
powtórzenie ;; czynność lub proces, w którym coś jest robione ponownie, w celu ugruntowania, utrwalenia lub zapamiętania danego zagadnienia, treści lub umiejętności.
rozdarcie ;; proces oderwania lub rozszarpania materiału, tkaniny lub innej substancji na skutek siły lub działania.
bazylika ;; kościół katolicki szczególnie wyróżniający się swoją architekturą i rangą nadaną przez władze kościelne.
artyleria ;; rodzaj sił zbrojnych specjalizujący się w obsłudze dział artyleryjskich, rakietowych oraz innych systemów miotających pociski.
dieta ;; sposób żywienia, określający rodzaj, ilość i częstotliwość spożywanych posiłków, mający na celu zapewnienie organizmowi niezbędnych składników odżywczych.
serwer ;; komputer lub program komputerowy, który świadczy usługi lub udostępnia zasoby dla innych komputerów w sieci, np. strony internetowe, pliki czy aplikacje.
gwóźdź ;; metalowy element używany do łączenia materiałów poprzez wbicie go w podłoże za pomocą młotka.
kujawski ;; odnoszący się do regionu kujawy w polsce, jego mieszkańców, kultury lub dialektu.
zbór ;; grupa osób spotykających się regularnie w celach religijnych lub społecznych.
heroina ;; substancja psychoaktywna, silny narkotyk opioidowy wywołujący intensywne uczucie euforii i działający depresyjnie na układ nerwowy.
przepustowość ;; zdolność układu lub systemu do przenoszenia danych, informacji lub energii w określonym czasie.
baseball ;; is a bat-and-ball game played between two teams of nine players each, where the objective is to score runs by hitting a ball thrown by a pitcher and running around a series of four bases arranged in a diamond shape.
analizator ;; narzędzie lub urządzenie służące do analizy lub badania czegoś, np. danych, substancji chemicznych czy sygnałów.
gradobicie ;; atmosferyczne zjawisko polegające na nagłym, intensywnym opadzie kulek lodu, które powodują szkody w uprawach rolnych, budynkach oraz pojazdach.
rzeź ;; okrutne zabijanie lub mordowanie uczestników wojny, ludności cywilnej, zwierząt lub innych istot.
budowla ;; struktura architektoniczna lub inżynieryjna, zwykle o znaczących rozmiarach i służąca określonemu celowi, jak np. kościół, pałac, most, czy wieżowiec.
tort ;; słodka wypiekana potrawa składająca się z biszkoptowych warstw przełożonych kremem, musem lub owocami, często ozdobiona galaretką, bitą śmietaną, owocami lub czekoladą.
inicjacja ;; proces rozpoczęcia, wprowadzenia lub ustanowienia czegoś, zwłaszcza związany z ceremonią, rytuałem lub uroczystością.
botanik ;; naukowiec zajmujący się badaniem roślin, ich morfologią, fizjologią, ekologią, systematyką oraz występowaniem w przyrodzie.
prędkość ;; wielkość fizyczna określająca szybkość zmiany położenia obiektu w czasie, wyrażana jako stosunek przemieszczenia do czasu.
wzięcie ;; czynność polegająca na zabraniu lub sięgnięciu po coś, a także na przyjęciu czegoś od kogoś.
śpiewaczka ;; żeńska osoba wykonująca śpiew w sposób zawodowy lub amatorski.
nice ;; is used to describe something pleasant, enjoyable, or attractive.
inflacja ;; proces wzrostu ogólnego poziomu cen dóbr i usług w gospodarce, prowadzący do zmniejszenia siły nabywczej pieniądza.
zły ;; przymiotnik określający stan negatywny, charakteryzujący się brakiem dobra, szkodliwością lub negatywnym wpływem.
dziki ;; odnosi się do tego, co jest dzikie, nieoswojone lub rosnące w naturalnym środowisku, np. dzikie zwierzęta, dzika roślinność.
projekt ;; zaplanowane działanie mające na celu osiągnięcie określonych rezultatów w określonym czasie, z określonymi zasobami.
ewakuacja ;; planowane lub nagłe opuszczenie miejsca z różnych przyczyn, takich jak zagrożenie naturalne, awaria techniczna, czy sytuacja kryzysowa, w celu zapewnienia bezpieczeństwa życia i zdrowia osób przebywających w obszarze ewakuacji.
period ;; czasowy okres lub odcinek czasu, określony jednostką miary, taki jak godzina, dzień, miesiąc czy rok. ."
biwak ;; tymczasowe miejsce noclegu na świeżym powietrzu, zwykle pod namiotem lub bez niego, wykorzystywane podczas wędrówek turystycznych, wypraw trekkingowych lub militarnych.
kopalnia ;; miejsce, gdzie prowadzone są prace wydobywcze w celu pozyskania surowców mineralnych lub energetycznych.
zwinność ;; umiejętność szybkiego i sprawnego poruszania się oraz adaptowania do zmian i sytuacji.
wyposażenie ;; zespół narzędzi, sprzętów, mebli i innych przedmiotów służących do funkcjonowania lub wykonywania określonych czynności w danym miejscu.
siostrzenica ;; córka siostry jednego z rodziców, czyli siostrzeniec lub bratanica.
urzędniczka ;; kobieta zatrudniona na stanowisku urzędniczym, zajmująca się prowadzeniem dokumentacji, obsługą klientów oraz innymi czynnościami biurowymi.
holownik ;; statek lub pojazd specjalnie przystosowany do holowania innych jednostek pływających, w razie awarii lub potrzeby manewrowania.
komuna ;; forma społecznego ustroju, charakteryzująca się zbiorowym własnościowym zarządzaniem danym obszarem lub zasobami, często związana z ideologią socjalistyczną.
relikt ;; coś, co pozostało z przeszłości i nie jest już szeroko spotykane ani używane, ale nadal istnieje jako ślad wcześniejszych czasów.
ptaszek ;; mały ptak charakteryzujący się lekkim ciałem, piórami i zdolnością do lotu.
szpic ;; grupa ras psów charakteryzujących się spiczastą głową, stojącymi uszami i puszystym ogonem zagiętym na grzbiet.
ostoja ;; miejsce zapewniające schronienie i ochronę, zazwyczaj dla zwierząt lub roślin.
wychowanek ;; osoba, której wychowanie, edukacja i rozwój są kierowane oraz wspierane przez inne osoby, instytucje lub środowisko.
matura ;; egzamin końcowy przeprowadzany na zakończenie nauki w szkole średniej, który potwierdza zdobycie kompetencji i kwalifikacji edukacyjnych.
stosowanie ;; proces polegający na korzystaniu z czegoś w celu osiągnięcia określonego celu lub rezultatu.
podstawa ;; dolna część czegoś, na której opiera się całość lub która stanowi fundament.
własność ;; prawo do korzystania, rozporządzania i dysponowania przedmiotami materialnymi lub niematerialnymi.
cieśnina ;; wąskie przejście wodne łączące dwa większe akweny, na przykład morza czy jeziora.
orka ;; wielki ssak morski z rodziny delfinowatych, charakteryzujący się czarno-białym ubarwieniem i dużymi płetwami.
partia ;; grupa osób zrzeszona w celu wspólnego działania politycznego, realizacji określonych celów lub rozgrywki sportowej.
grzałka ;; urządzenie elektryczne lub gazowe służące do podgrzewania przedmiotów, cieczy czy powietrza.
sernik ;; rodzaj ciasta z białego sera, jajek, cukru i mąki, pieczony w formie.
swing ;; styl muzyczny i taneczny rozwinięty w latach 30. i 40. xx wieku, charakteryzujący się specyficznym rytmem i energicznym tempem.
wypisywanie ;; czynność polegająca na przekazywaniu informacji lub treści na papierze, ekranie komputera lub innym nośniku w formie pisemnej lub drukowanej.
zasób ;; element mający wartość lub użyteczność, będący dostępnym źródłem do wykorzystania w określonym celu.
fantastyka ;; gatunek literacki lub filmowy, który charakteryzuje się elementami fantazji, wizji przyszłości, magii, technologii oraz często odniesieniami do innych światów.
gradacja ;; stopniowe zmienianie lub przejście od jednego stanu, stopnia, stopnia intensywności do drugiego, zakładając, że poszczególne etapy są wyraźnie odgraniczone i ułożone według jakiegoś porządku.
cap ;; może oznaczać nakrycie głowy, limity co do ilości czegoś, a także zamykanie lub ograniczanie czegoś."
forum ;; platforma internetowa służąca do wymiany myśli, opinii oraz informacji na określony temat w formie dyskusji pomiędzy użytkownikami.
obwodnica ;; droga omijająca centrum miasta, służąca do odciążenia ruchu tranzytowego oraz poprawy przepustowości dróg wewnętrznych.
klientka ;; żeńska forma słowa klient, czyli osoba korzystająca z usług lub produktów oferowanych przez firmę.
śpiewanie ;; sztuka wokalnego wyrażania dźwięków za pomocą głosu.
talizman ;; przedmiot uważany za posiadający magiczną moc ochronną lub przynoszący szczęście, noszony ze sobą w celu zdobycia ochrony lub wsparcia.
straż ;; grupa osób lub instytucja odpowiedzialna za zapewnienie bezpieczeństwa, ochronę oraz porządek w określonym obszarze lub sytuacji.
morderstwo ;; umyślne zabójstwo człowieka.
elektrownia ;; miejsce, w którym energia elektryczna jest wytwarzana z różnych źródeł energii, takich jak węgiel, gaz, wiatr, woda czy słońce.
święta ;; określone dni, uroczystości lub okazje będące ważnymi w religii, tradycji lub kulturze danej grupy ludzi.
piknik ;; rodzaj spotkania na świeżym powietrzu, podczas którego spożywa się posiłki na specjalnie przygotowanej przestrzeni, najczęściej w towarzystwie bliskich osób.
dysonans ;; niezgodność lub sprzeczność pomiędzy przekonaniami, wartościami lub postawami. może prowadzić do niekomfortowego stanu psychicznego, który skutkuje potrzebą zmiany wewnętrznej spójności.
przeprosiny ;; wyraz uznania błędu, żal lub skrucha wyrażana w sposób słowny lub symboliczny w celu naprawienia relacji z drugą osobą.
nieodpowiedzialność ;; brak odpowiedniego rozsądku, troski o skutki własnych działań oraz obowiązek ponoszenia konsekwencji za własne decyzje.
wałek ;; narzędzie służące do rozwałkowywania ciasta lub masy ceramicznej.
zapas ;; ilość czegoś, co zostało zachowana na późniejsze użycie.
wypełnienie ;; proces uzupełniania czy zajmowania przestrzeni wewnątrz czegoś, np. pustki, formy lub powierzchni.
występ ;; publiczne wykonanie artystyczne lub prezentacja, mająca na celu rozrywkę lub przekazanie treści artystycznych.
gimnazjum ;; rodzaj szkoły średniej, która przygotowuje uczniów do zdawania egzaminów maturalnych oraz umożliwia dalszą naukę.
rafa ;; złożony ekosystem morski składający się z kolonii korali i innych organizmów, który wykształca się wokół podwodnych struktur, takich jak skały lub wraki.
szlak ;; wyznaczona droga lub ścieżka, którą podróżujący przemierza pieszo, rowerem lub innym środkiem transportu, np. szlak turystyczny.
archiwalia ;; zbiór dokumentów historycznych lub innych materiałów przechowywanych w archiwum, mających wartość dla badań naukowych, odtwarzania historii lub udokumentowania działalności instytucji.
student ;; osoba ucząca się na uczelni wyższej lub szkole średniej.
torbiel ;; rodzaj patologicznego, ograniczonego worka wypełnionego płynem, która może występować w różnych tkankach organizmu.
łabędź ;; duża wodna ptak z rodziny kaczkowatych, charakteryzujący się długą szyją i białym upierzeniem.
ręka ;; część ciała człowieka składająca się z ramienia, przedramienia, dłoni i palców, umożliwiająca wykonywanie różnorodnych czynności.
perkusista ;; muzyk specjalizujący się w grze na instrumentach perkusyjnych, odpowiadający za rytm oraz tempo utworu muzycznego.
przepływ ;; proces poruszania się substancji, informacji lub energii z jednego miejsca do drugiego.
arsenał ;; ""arseanł"" to miejsce, gdzie przechowuje się oraz wyposaża w broń, amunicję i inne militaria.
zmartwienie ;; stan emocjonalny charakteryzujący się troską, niepokojem lub smutkiem z powodu jakiejś sytuacji lub wydarzenia.
alfa ;; pierwsza litera alfabetu greckiego, oznaczana symbolem α.
aktorstwo ;; sztuka wcielania się w różne postacie i odgrywania ich na scenie lub przed kamerą w sposób przekonujący i emocjonalny.
sufragan ;; biskup asystent, który wspomaga biskupa diecezjalnego w zarządzaniu diecezją.
szacunek ;; postawa lub uczucie wyrażające uznanie, szacunek i wartość dla drugiej osoby, jej godności, umiejętności i osiągnięć.
poczęstunek ;; niewielki posiłek lub przekąska podawana gościom jako forma gościnności.
dziewczyna ;; młoda kobieta, zazwyczaj w wieku od około 10 do 20 lat.
kadencja ;; terminem oznaczającym okres pełnienia danego stanowiska, funkcji lub urzędu, najczęściej w kontekście politycznym.
stwór ;; istota żywa lub wymyślona, posiadająca określone cechy charakterystyczne.
gier ;; odpowiednik gatunku literackiego, filmowego czy telewizyjnego, w którym odbiorca ma wpływ na rozwój fabuły poprzez podejmowanie decyzji za bohatera.
wierzba ;; rodzaj drzewa lub krzewu z rodziny wierzbowatych, charakteryzujący się długimi, giętkimi pędami i eliptycznymi liśćmi. wierzby często rosną nad wodą i są popularne w ogrodach jako rośliny ozdobne.
pokaz ;; publiczne wydarzenie, podczas którego prezentowane są różnorodne występy artystyczne, sportowe lub edukacyjne, mające na celu zabawę, edukację lub rozrywkę publiczności.
zasadność ;; cecha lub stan tego, co jest zgodne z normami, regułami lub etyką, mające uzasadnienie logiczne lub moralne.
ubaw ;; popularne słowo potoczne oznaczające rozrywkę, zabawę, rozczulenie lub śmieszną sytuację.
